DATE,MORTGAGE30US
1/1/00,8.21
2/1/00,8.325
3/1/00,8.24
4/1/00,8.1525
5/1/00,8.515
6/1/00,8.288
7/1/00,8.1475
8/1/00,8.0275
9/1/00,7.912
10/1/00,7.795
11/1/00,7.745
12/1/00,7.382
1/1/01,7.0325
2/1/01,7.05
3/1/01,6.952
4/1/01,7.0775
5/1/01,7.145
6/1/01,7.16
7/1/01,7.1275
8/1/01,6.95
9/1/01,6.8175
10/1/01,6.6175
11/1/01,6.658
12/1/01,7.065
1/1/02,6.9975
2/1/02,6.8925
3/1/02,7.014
4/1/02,6.985
5/1/02,6.806
6/1/02,6.65
7/1/02,6.485
8/1/02,6.29
9/1/02,6.0925
10/1/02,6.1125
11/1/02,6.068
12/1/02,6.0475
1/1/03,5.916
2/1/03,5.8425
3/1/03,5.745
4/1/03,5.8125
5/1/03,5.484
6/1/03,5.23
7/1/03,5.6325
8/1/03,6.264
9/1/03,6.1475
10/1/03,5.952
11/1/03,5.9325
12/1/03,5.876
1/1/04,5.7125
2/1/04,5.635
3/1/04,5.445
4/1/04,5.83
5/1/04,6.27
6/1/04,6.2875
7/1/04,6.056
8/1/04,5.8675
9/1/04,5.754
10/1/04,5.7225
11/1/04,5.73
12/1/04,5.752
1/1/05,5.71
2/1/05,5.6275
3/1/05,5.928
4/1/05,5.855
5/1/05,5.72
6/1/05,5.582
7/1/05,5.695
8/1/05,5.82
9/1/05,5.774
10/1/05,6.065
11/1/05,6.33
12/1/05,6.272
1/1/06,6.145
2/1/06,6.2525
3/1/06,6.324
4/1/06,6.5075
5/1/06,6.5975
6/1/06,6.682
7/1/06,6.7625
8/1/06,6.524
9/1/06,6.4025
10/1/06,6.3575
11/1/06,6.24
12/1/06,6.135
1/1/07,6.2175
2/1/07,6.285
3/1/07,6.156
4/1/07,6.18
5/1/07,6.262
6/1/07,6.6575
7/1/07,6.695
8/1/07,6.572
9/1/07,6.3825
10/1/07,6.375
11/1/07,6.208
12/1/07,6.095
1/1/08,5.758
2/1/08,5.9175
3/1/08,5.97
4/1/08,5.9175
5/1/08,6.036
