,walkscore,walktype,lat,long,biketype,bikescore,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,lat_1,long_1,street_name,city,state,zip_code,mortgage_rate_3
0,11.0,Car-Dependent,47.7315,-122.2215,Somewhat Bikeable,15.0,June 2021,961000.0,3,2.5,1830,8233,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1230,1170,400,80,1979,0,47.732,-122.22200000000001,8832 Northeast 144th Street,Kirkland,Washington,98034,2.975
0,4.0,Car-Dependent,47.6865,-122.055,Somewhat Bikeable,20.0,June 2021,961000.0,3,2.5,1830,8233,1.0,NO,NO,NO,NONE,Average,8 Good,Electricity,PUBLIC,1230,1170,400,80,1979,0,47.732,-122.22200000000001,8832 Northeast 144th Street,Kirkland,Washington,98034,2.975
1,34.0,Car-Dependent,47.3355,-122.214,Very Bikeable,70.0,September 2021,185000.0,4,2.5,2030,4398,2.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,2030,0,430,30,2006,0,47.336000000000006,-122.214,1321 32nd Street Northeast,Auburn,Washington,98002,2.9
1,3.0,Car-Dependent,47.4225,-122.4345,Somewhat Bikeable,35.0,September 2021,185000.0,4,2.5,2030,4398,2.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,2030,0,430,30,2006,0,47.336000000000006,-122.214,1321 32nd Street Northeast,Auburn,Washington,98002,2.9
2,47.0,Car-Dependent,47.499,-122.154,Somewhat Bikeable,49.0,September 2021,1010000.0,7,4.5,3580,15091,2.0,NO,NO,NO,NONE,Good,7 Average,Gas,PRIVATE,3580,0,790,160,1965,0,47.498999999999995,-122.154,956 Field Avenue Northeast,Renton,Washington,98059,2.9
2,64.0,Somewhat Walkable,47.394,-122.3025,Somewhat Bikeable,45.0,September 2021,1010000.0,7,4.5,3580,15091,2.0,NO,NO,NO,NONE,Good,7 Average,Gas,PRIVATE,3580,0,790,160,1965,0,47.498999999999995,-122.154,956 Field Avenue Northeast,Renton,Washington,98059,2.9
3,77.0,Very Walkable,47.6745,-122.358,Very Bikeable,78.0,June 2021,1880000.0,6,3.0,2880,5500,1.5,NO,NO,NO,GOOD,Average,8 Good,Gas,PUBLIC,2200,860,0,300,1920,0,47.675,-122.35799999999999,6233 1st Avenue Northwest,Seattle,Washington,98107,2.975
3,68.0,Somewhat Walkable,47.6925,-122.2875,Very Bikeable,85.0,June 2021,1880000.0,6,3.0,2880,5500,1.5,NO,NO,NO,GOOD,Average,8 Good,Gas,PUBLIC,2200,860,0,300,1920,0,47.675,-122.35799999999999,6233 1st Avenue Northwest,Seattle,Washington,98107,2.975
4,11.0,Car-Dependent,47.7465,-122.0745,Somewhat Bikeable,12.0,July 2021,1000000.0,4,2.5,2320,9750,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1460,1290,530,140,1979,0,47.747,-122.074,19705 Northeast 164th Street,Woodinville,Washington,98077,2.8680000000000003
4,0.0,Car-Dependent,47.4435,-121.77,Somewhat Bikeable,25.0,July 2021,1000000.0,4,2.5,2320,9750,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PRIVATE,1460,1290,530,140,1979,0,47.747,-122.074,19705 Northeast 164th Street,Woodinville,Washington,98077,2.8680000000000003
5,13.0,Car-Dependent,47.559,-122.133,Somewhat Bikeable,4.0,September 2021,1798000.0,3,2.5,3210,9730,1.0,NO,NO,NO,GOOD,Very Good,9 Better,Gas,PUBLIC,1700,1510,510,520,1977,0,47.559,-122.133,4831 155th Avenue Southeast,Bellevue,Washington,98006,2.9
5,3.0,Car-Dependent,47.7405,-121.9515,Somewhat Bikeable,1.0,September 2021,1798000.0,3,2.5,3210,9730,1.0,NO,NO,NO,GOOD,Very Good,9 Better,Gas,PUBLIC,1700,1510,510,520,1977,0,47.559,-122.133,4831 155th Avenue Southeast,Bellevue,Washington,98006,2.9
6,62.0,Somewhat Walkable,47.5275,-122.355,Very Bikeable,73.0,April 2022,532000.0,2,1.0,710,5120,1.0,NO,NO,YES,AVERAGE,Fair,6 Low Average,Gas,PUBLIC,710,710,0,40,1925,0,47.528,-122.355,8421 16th Avenue Southwest,Seattle,Washington,98106,4.982
6,41.0,Car-Dependent,47.319,-122.352,Somewhat Bikeable,49.0,April 2022,532000.0,2,1.0,710,5120,1.0,NO,NO,YES,AVERAGE,Fair,6 Low Average,Gas,PUBLIC,710,710,0,40,1925,0,47.528,-122.355,8421 16th Avenue Southwest,Seattle,Washington,98106,4.982
7,54.0,Somewhat Walkable,47.3595,-122.142,Somewhat Bikeable,36.0,September 2021,641000.0,3,2.0,1400,11820,1.0,NO,NO,NO,NONE,Very Good,8 Good,Gas,PRIVATE,1400,0,250,0,1967,0,47.36,-122.14200000000001,14912 Southeast 270th Place,Kent,Washington,98042,2.9
7,81.0,Very Walkable,47.598,-122.295,Very Bikeable,73.0,September 2021,641000.0,3,2.0,1400,11820,1.0,NO,NO,NO,NONE,Very Good,8 Good,Gas,PRIVATE,1400,0,250,0,1967,0,47.36,-122.14200000000001,14912 Southeast 270th Place,Kent,Washington,98042,2.9
8,83.0,Very Walkable,47.5875,-122.3085,Very Bikeable,78.0,October 2021,2500000.0,3,1.0,1150,8587,1.5,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PUBLIC,1150,270,330,50,1905,0,47.586999999999996,-122.30799999999999,1772 19th Avenue South,Seattle,Washington,98144,3.068
8,1.0,Car-Dependent,47.7195,-122.121,Somewhat Bikeable,17.0,October 2021,2500000.0,3,1.0,1150,8587,1.5,NO,NO,NO,NONE,Average,6 Low Average,Electricity,PUBLIC,1150,270,330,50,1905,0,47.586999999999996,-122.30799999999999,1772 19th Avenue South,Seattle,Washington,98144,3.068
9,77.0,Very Walkable,47.619,-122.289,Bikeable,69.0,February 2022,1400000.0,3,2.0,1500,3760,1.5,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1500,950,200,0,1926,0,47.619,-122.289,3412 East Florence Court,Seattle,Washington,98112,3.762
9,17.0,Car-Dependent,47.517,-122.19,Somewhat Bikeable,29.0,February 2022,1400000.0,3,2.0,1500,3760,1.5,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1500,950,200,0,1926,0,47.619,-122.289,3412 East Florence Court,Seattle,Washington,98112,3.762
10,41.0,Car-Dependent,47.7465,-122.3145,Somewhat Bikeable,49.0,May 2022,720000.0,3,1.5,1900,6913,1.0,NO,NO,YES,NONE,Average,7 Average,Oil,PUBLIC,950,950,0,580,1951,0,47.747,-122.314,16233 15th Avenue Northeast,Shoreline,Washington,98155,5.23
10,62.0,Somewhat Walkable,47.5275,-122.355,Very Bikeable,73.0,May 2022,720000.0,3,1.5,1900,6913,1.0,NO,NO,YES,NONE,Average,7 Average,Oil,PUBLIC,950,950,0,580,1951,0,47.747,-122.314,16233 15th Avenue Northeast,Shoreline,Washington,98155,5.23
11,77.0,Very Walkable,47.61,-122.298,Biker's Paradise,94.0,October 2021,550000.0,3,3.5,1820,1424,3.0,NO,NO,NO,NONE,Average,9 Better,Electricity,PUBLIC,1820,480,480,600,2019,0,47.61,-122.29799999999999,26th Avenue,Seattle,Washington,98122,3.068
11,69.0,Somewhat Walkable,47.553,-122.313,Bikeable,68.0,October 2021,550000.0,3,3.5,1820,1424,3.0,NO,NO,NO,NONE,Average,9 Better,Electricity,PUBLIC,1820,480,480,600,2019,0,47.61,-122.29799999999999,26th Avenue,Seattle,Washington,98122,3.068
12,95.0,Walker's Paradise,47.4825,-122.205,Very Bikeable,85.0,October 2021,1030000.0,3,1.5,2250,6000,1.5,NO,NO,NO,NONE,Good,7 Average,Oil,PUBLIC,2250,1080,0,200,1902,0,47.482,-122.205,118 Wells Avenue South,Renton,Washington,98057,3.068
12,8.0,Car-Dependent,47.58,-122.055,Somewhat Bikeable,34.0,October 2021,1030000.0,3,1.5,2250,6000,1.5,NO,NO,NO,NONE,Good,7 Average,Oil,PUBLIC,2250,1080,0,200,1902,0,47.482,-122.205,118 Wells Avenue South,Renton,Washington,98057,3.068
13,14.0,Car-Dependent,47.727,-122.2215,Somewhat Bikeable,31.0,October 2021,907200.0,3,1.5,1530,7544,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1530,0,440,250,1968,0,47.727,-122.22200000000001,14045 90th Avenue Northeast,Kirkland,Washington,98034,3.068
13,21.0,Car-Dependent,47.34,-122.2905,Somewhat Bikeable,32.0,October 2021,907200.0,3,1.5,1530,7544,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1530,0,440,250,1968,0,47.727,-122.22200000000001,14045 90th Avenue Northeast,Kirkland,Washington,98034,3.068
14,80.0,Very Walkable,47.5755,-122.313,Very Bikeable,83.0,September 2021,650000.0,4,2.0,1790,4800,1.5,NO,NO,YES,NONE,Average,7 Average,Oil,PUBLIC,1790,990,0,80,1908,0,47.576,-122.31299999999999,3014 15th Avenue South,Seattle,Washington,98144,2.9
14,79.0,Very Walkable,47.61,-122.2995,Biker's Paradise,96.0,September 2021,650000.0,4,2.0,1790,4800,1.5,NO,NO,YES,NONE,Average,7 Average,Oil,PUBLIC,1790,990,0,80,1908,0,47.576,-122.31299999999999,3014 15th Avenue South,Seattle,Washington,98144,2.9
15,58.0,Somewhat Walkable,47.6715,-122.3475,Very Bikeable,84.0,March 2022,1850000.0,4,2.5,2740,4000,1.5,NO,NO,NO,NONE,Very Good,8 Good,Gas,PUBLIC,1880,1100,310,240,1911,0,47.672,-122.348,815 North 60th Street,Seattle,Washington,98103,4.172
15,11.0,Car-Dependent,47.334,-122.3505,Somewhat Bikeable,22.0,March 2022,1850000.0,4,2.5,2740,4000,1.5,NO,NO,NO,NONE,Very Good,8 Good,Gas,PUBLIC,1880,1100,310,240,1911,0,47.672,-122.348,815 North 60th Street,Seattle,Washington,98103,4.172
16,12.0,Car-Dependent,47.574,-122.1135,Somewhat Bikeable,25.0,June 2021,1840000.0,5,3.5,4480,9648,2.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,4480,0,800,1030,1979,0,47.574,-122.113,4028 170th Avenue Southeast,Bellevue,Washington,98008,2.975
16,47.0,Car-Dependent,47.379,-122.2875,Bikeable,50.0,June 2021,1840000.0,5,3.5,4480,9648,2.0,NO,NO,NO,NONE,Good,9 Better,Gas,PUBLIC,4480,0,800,1030,1979,0,47.574,-122.113,4028 170th Avenue Southeast,Bellevue,Washington,98008,2.975
