,status,walkscore,snapped_lat,snapped_lon,bike_score
0,1,13.0,47.4615,-122.19,34.0
1,1,60.0,47.712,-122.3565,63.0
2,1,35.0,47.502,-122.2245,48.0
3,1,82.0,47.5665,-122.2905,58.0
4,1,14.0,47.532,-122.0715,13.0
5,1,68.0,47.763,-122.34,78.0
6,1,2.0,47.4555,-122.367,9.0
7,1,21.0,47.379,-122.178,27.0
8,1,32.0,47.2935,-122.37,25.0
9,1,25.0,47.733,-121.965,25.0
10,1,75.0,47.5725,-122.3085,95.0
11,1,6.0,47.418,-122.1675,49.0
12,1,42.0,41.226,-96.0015,19.0
13,1,8.0,47.2575,-122.1945,26.0
14,1,42.0,47.292,-122.358,54.0
15,1,81.0,47.694,-122.346,74.0
16,1,15.0,47.562,-122.184,39.0
17,1,82.0,47.5425,-122.3895,73.0
18,1,85.0,47.6625,-122.349,84.0
19,1,81.0,47.664,-122.3385,97.0
20,1,58.0,47.5995,-122.1405,62.0
21,1,16.0,47.3565,-122.04,37.0
22,1,87.0,47.475,-122.205,32.0
23,1,0.0,47.7765,-122.091,21.0
24,1,54.0,47.529,-122.3805,56.0
25,1,19.0,47.4,-122.2035,25.0
26,1,12.0,47.709,-122.0205,32.0
27,1,16.0,47.616,-122.2245,10.0
28,1,64.0,47.6625,-122.3595,66.0
29,1,17.0,47.6235,-122.112,44.0
30,1,20.0,47.412,-122.2095,25.0
31,1,68.0,47.7315,-122.343,79.0
32,1,61.0,47.7345,-122.2905,74.0
33,1,30.0,47.484,-122.304,46.0
34,1,40.0,47.751,-122.334,43.0
35,1,21.0,47.6655,-122.409,27.0
36,1,22.0,47.6385,-122.214,37.0
37,1,5.0,47.475,-121.7685,27.0
38,1,37.0,47.352,-122.175,33.0
39,1,8.0,47.31,-122.13,25.0
40,1,25.0,47.466,-122.214,18.0
41,1,60.0,47.679,-122.115,58.0
42,1,23.0,47.589,-122.1945,42.0
43,1,10.0,47.745,-122.1945,44.0
44,1,25.0,47.6325,-122.115,51.0
45,1,85.0,47.3115,-122.2275,63.0
46,1,91.0,47.685,-122.346,85.0
47,1,70.0,47.7555,-122.283,71.0
48,1,25.0,47.391,-122.1735,33.0
49,1,10.0,47.718,-121.9485,31.0
50,1,74.0,47.6685,-122.1645,70.0
51,1,54.0,47.583,-122.4,53.0
52,1,25.0,47.4945,-122.3205,41.0
53,1,24.0,39.4605,-75.015,29.0
54,1,59.0,47.7105,-122.3325,63.0
