,month,mortgage_rate
0,January 2000,8.21
1,February 2000,8.325
2,March 2000,8.24
3,April 2000,8.1525
4,May 2000,8.515
5,June 2000,8.288
6,July 2000,8.1475
7,August 2000,8.0275
8,September 2000,7.912000000000001
9,October 2000,7.795
10,November 2000,7.745
11,December 2000,7.382000000000001
12,January 2001,7.0325
13,February 2001,7.05
14,March 2001,6.952000000000001
15,April 2001,7.0775
16,May 2001,7.145
17,June 2001,7.16
18,July 2001,7.1275
19,August 2001,6.95
20,September 2001,6.8175
21,October 2001,6.6175
22,November 2001,6.6579999999999995
23,December 2001,7.065
24,January 2002,6.9975
25,February 2002,6.8925
26,March 2002,7.013999999999999
27,April 2002,6.985
28,May 2002,6.806
29,June 2002,6.65
30,July 2002,6.485
31,August 2002,6.29
32,September 2002,6.0925
33,October 2002,6.1125
34,November 2002,6.068
35,December 2002,6.0475
36,January 2003,5.916
37,February 2003,5.8425
38,March 2003,5.745
39,April 2003,5.8125
40,May 2003,5.484
41,June 2003,5.23
42,July 2003,5.6325
43,August 2003,6.263999999999999
44,September 2003,6.1475
45,October 2003,5.952000000000001
46,November 2003,5.9325
47,December 2003,5.876
48,January 2004,5.7125
49,February 2004,5.635
50,March 2004,5.445
51,April 2004,5.83
52,May 2004,6.27
53,June 2004,6.2875
54,July 2004,6.056
55,August 2004,5.8675
56,September 2004,5.754
57,October 2004,5.7225
58,November 2004,5.73
59,December 2004,5.752000000000001
60,January 2005,5.71
61,February 2005,5.6275
62,March 2005,5.928
63,April 2005,5.855
64,May 2005,5.72
65,June 2005,5.582000000000001
66,July 2005,5.695
67,August 2005,5.82
68,September 2005,5.774
69,October 2005,6.065
70,November 2005,6.33
71,December 2005,6.272
72,January 2006,6.145
73,February 2006,6.2525
74,March 2006,6.324
75,April 2006,6.5075
76,May 2006,6.5975
77,June 2006,6.682
78,July 2006,6.7625
79,August 2006,6.524
80,September 2006,6.4025
81,October 2006,6.3575
82,November 2006,6.24
83,December 2006,6.135
84,January 2007,6.2175
85,February 2007,6.285
86,March 2007,6.156000000000001
87,April 2007,6.18
88,May 2007,6.2620000000000005
89,June 2007,6.6575
90,July 2007,6.695
91,August 2007,6.572
92,September 2007,6.3825
93,October 2007,6.375
94,November 2007,6.207999999999999
95,December 2007,6.095
96,January 2008,5.757999999999999
97,February 2008,5.9175
98,March 2008,5.97
