,status,walkscore,description,updated,logo_url,more_info_icon,more_info_link,ws_link,help_link,snapped_lat,snapped_lon,transit,bike
0,1,13.0,Car-Dependent,2023-02-09 07:35:34.444172,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.461975/lng=-122.19052/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.4615,-122.19,"{'score': None, 'description': None, 'summary': None}","{'score': 34, 'description': 'Somewhat Bikeable'}"
1,1,60.0,Somewhat Walkable,2023-02-09 03:37:24.271469,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.711525/lng=-122.35591/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.712,-122.3565,"{'score': None, 'description': None, 'summary': None}","{'score': 63, 'description': 'Bikeable'}"
2,1,35.0,Car-Dependent,2023-02-09 07:50:27.939377,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.502045/lng=-122.2252/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.502,-122.2245,,"{'score': 48, 'description': 'Somewhat Bikeable'}"
3,1,82.0,Very Walkable,2023-02-09 03:32:15.791058,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.56611/lng=-122.2902/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.5665,-122.2905,"{'score': None, 'description': None, 'summary': None}","{'score': 58, 'description': 'Bikeable'}"
4,1,14.0,Car-Dependent,2023-02-09 04:01:13.904620,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.53247/lng=-122.07188/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.532,-122.0715,"{'score': None, 'description': None, 'summary': None}","{'score': 13, 'description': 'Somewhat Bikeable'}"
5,1,68.0,Somewhat Walkable,2023-02-08 23:35:58.644758,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.76347/lng=-122.340155/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.763,-122.34,"{'score': None, 'description': None, 'summary': None}","{'score': 78, 'description': 'Very Bikeable'}"
6,1,2.0,Car-Dependent,2023-02-09 07:07:35.639024,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.45547/lng=-122.36722/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.4555,-122.367,"{'score': None, 'description': None, 'summary': None}","{'score': 9, 'description': 'Somewhat Bikeable'}"
7,1,21.0,Car-Dependent,2023-02-09 08:17:30.602667,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.378355/lng=-122.178625/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.379,-122.178,"{'score': None, 'description': None, 'summary': None}","{'score': 27, 'description': 'Somewhat Bikeable'}"
8,1,32.0,Car-Dependent,2023-02-09 07:28:16.809035,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.29377/lng=-122.36932/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.2935,-122.37,"{'score': None, 'description': None, 'summary': None}","{'score': 25, 'description': 'Somewhat Bikeable'}"
9,1,25.0,Car-Dependent,2023-02-01 06:13:15.410514,https://cdn.walk.sc/images/api-logo.png,https://cdn.walk.sc/images/api-more-info.gif,https://www.redfin.com/how-walk-score-works,https://www.walkscore.com/score/loc/lat=47.73317/lng=-121.965305/?utm_source=stephanieciaccia.com&utm_medium=ws_api&utm_campaign=ws_api,https://www.redfin.com/how-walk-score-works,47.733,-121.965,,"{'score': 25, 'description': 'Somewhat Bikeable'}"
