,status,walkscore,snapped_lat,snapped_lon,bike_score
0,1,28.0,47.616,-122.2815,59.0
1,1,1.0,47.6505,-122.2305,22.0
2,1,56.0,47.628,-122.208,31.0
3,1,24.0,47.616,-122.2395,35.0
4,1,3.0,47.7405,-122.3745,4.0
5,1,6.0,47.526,-122.157,33.0
6,1,13.0,47.631,-122.241,17.0
7,1,29.0,47.6655,-122.265,54.0
8,1,20.0,47.6265,-122.238,31.0
9,1,10.0,47.5575,-122.2305,15.0
10,1,28.0,47.616,-122.2815,59.0
11,1,12.0,47.6115,-122.223,26.0
12,1,69.0,47.6295,-122.2815,36.0
13,1,19.0,47.7375,-122.1345,29.0
14,1,42.0,47.6205,-122.2815,50.0
15,1,17.0,47.571,-122.0985,22.0
16,1,44.0,47.6145,-122.217,34.0
17,1,26.0,47.5845,-122.2185,32.0
18,1,14.0,47.64,-122.229,54.0
19,1,23.0,47.601,-122.2065,10.0
20,1,1.0,47.6505,-122.229,18.0
21,1,27.0,47.628,-122.2155,25.0
22,1,30.0,47.6265,-122.2155,16.0
23,1,3.0,47.5305,-122.238,38.0
24,1,17.0,47.6295,-122.235,33.0
25,1,13.0,47.6325,-122.241,11.0
26,1,14.0,47.565,-122.232,8.0
27,1,15.0,47.5395,-122.2395,18.0
28,1,10.0,47.556,-122.232,16.0
29,1,21.0,47.58,-122.2485,36.0
30,1,5.0,47.6445,-122.2395,23.0
31,1,4.0,47.6505,-122.2185,12.0
32,1,63.0,47.616,-122.214,17.0
33,1,21.0,47.622,-122.235,24.0
34,1,8.0,47.6265,-122.2215,18.0
35,1,15.0,47.5965,-122.2095,8.0
36,1,6.0,47.5695,-122.19,46.0
37,1,29.0,47.7375,-122.166,19.0
38,1,19.0,47.6235,-122.22,22.0
39,1,5.0,47.6505,-122.2755,48.0
40,1,32.0,47.625,-122.286,54.0
41,1,23.0,47.637,-122.289,43.0
42,1,27.0,47.628,-122.2155,25.0
43,1,25.0,47.529,-122.1915,19.0
44,1,27.0,47.5275,-122.1915,16.0
45,1,23.0,47.6325,-122.2245,21.0
46,1,3.0,47.604,-122.112,22.0
47,1,9.0,47.562,-122.2305,10.0
48,1,30.0,47.631,-122.2155,25.0
49,1,41.0,47.622,-122.2815,50.0
50,1,4.0,47.547,-122.2365,15.0
51,1,9.0,47.5905,-122.1105,48.0
52,1,10.0,47.658,-122.2695,51.0
53,1,5.0,41.112,-95.9655,21.0
54,1,17.0,61.1895,-149.7615,37.0
55,1,5.0,41.112,-95.9655,21.0
56,1,5.0,41.112,-95.9655,21.0
57,1,5.0,41.112,-95.9655,21.0
58,1,5.0,41.112,-95.9655,21.0
59,1,5.0,41.112,-95.9655,21.0
60,1,5.0,41.112,-95.9655,21.0
61,1,5.0,41.112,-95.9655,21.0
62,1,17.0,61.1895,-149.7615,37.0
63,1,5.0,41.112,-95.9655,21.0
64,1,5.0,41.112,-95.9655,21.0
65,1,23.0,47.6205,-122.2245,31.0
66,1,91.0,47.6175,-122.193,58.0
67,1,4.0,47.6505,-122.2785,40.0
68,1,14.0,47.5695,-122.2335,8.0
69,1,5.0,47.646,-122.22,27.0
70,1,37.0,47.649,-122.202,35.0
71,1,44.0,47.5935,-122.2335,56.0
72,1,37.0,47.649,-122.202,35.0
73,1,15.0,47.625,-122.22,24.0
74,1,31.0,47.6085,-122.211,20.0
